LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,PAY_RATIO,BILL_STD,NB_LATE_PAYMENTS,BILL_TREND,PAY_TREND,lgb_pred,xgb_pred,cat_pred,nn_pred
50000.0,1,2,2,46,0.0,0.0,0.0,0.0,0.0,0.0,10.16819522292803,0.0,8.152774052744075,7.749753406274437,7.475905969367397,7.952263308657046,0.6948245949857905,9.197426957366975,0,7.110696122978827,0.0,0.5125805377307165,0.32415918,0.45299978973739646,0.23727694
150000.0,1,1,1,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36691667901828,10.308985993422082,0.940735711030189,8.84968585127224,0,0.0,10.308985993422082,0.578570044480578,0.39533794,0.561043777188219,0.7329478
50000.0,1,2,2,25,0.0,0.0,0.0,0.0,0.0,0.0,7.496097345175956,7.520234556474628,7.696667081526462,7.601402334583733,7.496097345175956,7.620214770574455,0.0386356299049334,7.014898656768358,0,7.87777633327726,5.476463551931511,0.5235766227055578,0.36961222,0.5578666472507469,0.53083193
290000.0,2,1,2,25,0.0,0.0,0.0,0.0,0.0,0.0,9.61587214452889,9.259225769705994,9.210440366976515,9.61587214452889,8.967631665167133,10.0576668033838,0.0489634084892025,10.44158895528864,0,0.0,9.0280988119824,0.39005975817242683,0.2526717,0.3467271235333234,0.2543745
500000.0,2,2,1,27,0.0,0.0,0.0,0.0,0.0,0.0,9.208739090609209,9.516942329280475,9.210440366976515,9.210440366976515,9.210440366976515,10.13875728364818,0.7953273809221826,7.282516118586604,0,0.0,9.637044983076766,0.16280763973159054,0.11150153,0.2766869626078471,0.129002
200000.0,1,1,1,29,0.6931471805599453,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,9.021477467138808,8.31898612539206,11.11327501890115,11.091461454224264,0.0,0.1159715459180131,8.540390381606786,2,8.456593569287309,0.0,0.8039792236737966,0.5994021,0.7643219639972466,0.90726733
210000.0,1,2,2,31,0.0,0.0,0.0,0.0,0.0,0.0,8.517393171418904,8.343077871169383,8.03947991910045,8.006700845440367,8.03947991910045,8.006700845440367,0.0317829812272231,10.652241842792735,0,0.0,0.0,0.49720616448175786,0.3344829,0.46482152542108474,0.5660664
260000.0,1,3,2,35,0.0,0.0,0.0,0.0,0.0,0.0,9.210440366976515,9.210440366976515,9.248695325852646,9.211339872309264,9.210440366976515,9.210440366976515,0.1958779162177521,9.15295641148384,0,10.19597058192895,0.0,0.2297244370635864,0.14865716,0.3048245217158367,0.18913229
450000.0,2,1,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.745443680098592,8.145259566516865,8.725507328484445,0.0,9.57366316988638,0.2944182303685535,10.255750912823457,0,0.0,9.57366316988638,0.47589856939995717,0.3300276,0.413425169890345,0.1780841
150000.0,1,3,2,39,0.0,0.0,0.0,0.0,0.0,0.0,7.650168700845001,7.313886831633462,7.313886831633462,6.2166061010848646,6.90875477931522,7.741099090035366,0.0642286866868599,9.648546629899103,0,0.0,5.303304908059076,0.31549371623461875,0.21149798,0.4415085646263686,0.5587966
