lgb_pred,xgb_pred,cat_pred,target
0.3134711541064956,0.32286197,0.22475044715570006,0
0.32323616436156694,0.26564807,0.4350619284987505,0
0.38816246948688427,0.47669783,0.4174247002641739,0
0.1126407888617379,0.21498808,0.2199119734870242,1
0.030354924488063553,0.015485848,0.05205775435469333,0
0.473753652597399,0.41264555,0.7120363646644524,0
0.31025708147824393,0.25535986,0.3321770351207624,0
0.050832939216634926,0.016107302,0.053991512170815464,0
0.387056250265202,0.24712475,0.18924132147224726,0
0.11134552527078524,0.07800206,0.17811222029429524,0
0.5291932569417116,0.47536314,0.5415380024265506,0
0.7467121534219767,0.7535716,0.7011770979618237,0
0.5902236295161543,0.5352075,0.6050029863231003,1
0.21712733941729173,0.1646162,0.29427837318558603,0
0.11871812277736489,0.10996789,0.19077962188717415,0
0.6526308459233552,0.699015,0.8061768440693176,0
0.03669577378297791,0.07601378,0.1012599360372486,0
0.5128843990636579,0.509587,0.6301387177174215,1
0.1322121249821666,0.14772388,0.1953062677051117,0
0.5231630966886768,0.5492814,0.5265062468125843,0
0.10897165838230741,0.15324423,0.11736440192765941,0
0.20327252881821528,0.2763142,0.22961025430245727,1
0.42798129521416917,0.24323842,0.2557466944067625,0
0.2947885235479278,0.23458712,0.30800447315337137,0
0.7528035959101003,0.6213954,0.6417236890405434,1
0.36210827063627216,0.3779199,0.44054277543200365,0
0.2802980952514942,0.40172756,0.47198443801728013,0
0.23504499331382722,0.22611052,0.3058903524117994,0
0.9389394463198871,0.9646198,0.9326145246268301,1
0.7191863508183856,0.5951762,0.6394558786678322,0
0.4292693150913766,0.40878898,0.5052786531250887,1
0.34231755282350884,0.355715,0.35719938504312576,0
0.9221232606190551,0.9687871,0.9245012990630109,1
0.3621772258202322,0.34011212,0.3796975160862232,0
0.22406940718685095,0.23311423,0.20989604178782756,0
0.2628899967252282,0.15808523,0.28295944240738913,0
0.1749853051763985,0.21484444,0.28252671343384905,0
0.34830394831330064,0.19728793,0.30990706900769655,1
0.1770729301279215,0.2539418,0.28428080258957156,0
0.7953394179352239,0.85261434,0.7870071127193974,1
0.20322948254307288,0.23808394,0.2714987847872153,0
0.8108661232406725,0.7903418,0.8657625717291859,0
0.46826719439157954,0.38375637,0.44643353570101807,0
0.15808176387821446,0.08465194,0.25642546024745383,0
0.2303587214199118,0.23709804,0.24600103276676857,0
0.17932811516735953,0.17024851,0.2144858669986557,0
0.26948559241988473,0.23434621,0.29137193487777163,0
0.8671428981973989,0.75114673,0.8438735989497151,0
0.2993102485321809,0.33478114,0.3081277863066263,0
0.5820840613381291,0.54725254,0.615426617798993,0
0.6898153724309818,0.4440129,0.5814521008592304,0
0.21105662003594722,0.16237964,0.22703014683789183,0
0.9501184752945204,0.94360757,0.9228035341027367,1
0.8355589059216894,0.8596083,0.8706892565602066,1
0.38367348261744905,0.26233345,0.4059059315383046,1
0.12103007115784381,0.06308811,0.11807665514788875,0
0.3657425022566049,0.3264107,0.4111006033649813,0
0.08546165053989148,0.08308421,0.11490462168639322,0
0.08698183136504745,0.039602723,0.09271852881323761,0
0.9504296330328809,0.9454947,0.941523745624974,1
0.18230376357305855,0.19869342,0.35729370501611885,0
0.848668201979454,0.840049,0.838117062734583,1
0.6255161303811849,0.48289463,0.562076483706599,1
0.1557819678827633,0.16855696,0.2095528934305316,0
0.2794884459447843,0.21309783,0.3174483523489415,0
0.17720141441513002,0.111075364,0.18735839548087316,0
